English,Vietnamese
conditioning,điều hòa
requested,yêu cầu
conditional,có điều kiện
applicants,Ứng viên
algorithms,thuật toán
persistent,kiên trì
starsmerchant,StarsMerchant.
implementation,thực hiện
unnecessary,không cần thiết
portraits,chân dung
academics,học thuật
bacterial,vi khuẩn.
identifying,xác định
miniature,thu nhỏ
ringtones,nhạc chuông
illustration,hình minh họa
hypothetical,giả thuyết.
convenient,tiện lợi
switzerland,Thụy sĩ
informational,thông tin
directors,đạo diễn
automation,tự động hóa
quantities,số lượng
developmental,phát triển
researcher,nhà nghiên cứu
establish,thiết lập
immigration,nhập cư.
revelation,Khải huyền
permissions,Quyền
forwarding,chuyển tiếp
processed,xử lý
peripherals,thiết bị ngoại vi.
scheduling,Lên lịch
varieties,Đẳng cấp
realistic,thực tế
descriptions,mô tả
constitutes,cấu thành
tennessee,Tennessee.
nonprofit,phi lợi nhuận.
quotations,Trích dẫn
brazilian,người nước Brazil
distinguished,phân biệt.
enhancements,Cải tiến
accounting,kế toán
independent,sống độc lập
bookstore,Nhà sách.
interracial,giữa các chủng tộc.
agreements,Thỏa thuận
surprising,thật ngạc nhiên
extension,sự mở rộng
biography,tiểu sử
installation,cài đặt
punishment,hình phạt.
namespace,không gian tên.
extending,kéo dài.
delivering,giao hàng.
athletics,Thế vận hội
identifier,định danh.
kazakhstan,Kazakhstan.
suspended,cấm
techrepublic,TechRepublic.
treasures,Châu báu
productions,sản xuất
guatemala,Guatemala.
camcorders,Máy quay phim
metabolism,sự trao đổi chất
parliament,Quốc hội.
polyester,polyester
opportunity,dịp tốt
tripadvisor,TripAdvisor
temporarily,một cách tạm thời
advertising,Quảng cáo
recruitment,Tuyển dụng.
productive,năng suất
complimentary,ca ngợi
colleague,đồng nghiệp
infections,Nhiễm trùng
viewpicture,ViewPicture.
remembered,nhớ
organizer,tổ chức
nominated,Đề cử
comfortable,Thoải mái
undergraduate,sinh viên đại học.
geography,môn Địa lý
irrigation,thủy lợi
allocated,phân bổ.
legislature,cơ quan lập pháp
vegetables,rau
vancouver,Vancouver.
combination,sự phối hợp
landscapes,cảnh quan.
television,Tivi
residence,nơi cư trú
coordination,Phối hợp
looksmart,nhìn thông minh
dimensional,chiều.
translate,giải thích
introduced,Giới thiệu.
tournaments,giải đấu
retailers,nhà bán lẻ.
accessories,phụ kiện
affiliate,Chi nhánh
governments,Chính phủ
cumulative,tích lũy
liabilities,TRÁCH NHIỆM PHÁP LÝ
concerned,lo lắng
companion,đồng hành
designing,Thiết kế
biotechnology,Công nghệ sinh học.
photographers,nhiếp ảnh gia
citations,Trích dẫn
girlfriend,bạn gái
commentary,Bình luận
defendant,bị cáo
presentation,bài thuyết trình
influences,ảnh hưởng
swaziland,Swaziland.
southeast,Đông Nam
representation,đại diện
catherine,Catherine.
technician,kỹ thuật viên
expenditure,chi phí
separation,tách biệt
submissions,Đệ trình
characters,nhân vật
compensation,đền bù
underwear,đồ lót
influenced,chịu ảnh hưởng
recipients,người nhận
organizations,tổ chức
jacksonville,Jacksonville.
vegetarian,người ăn chay
hurricane,bão
seriously,nghiêm túc
promotional,khuyến mãi
technologies,công nghệ.
represent,đại diện
prospects,tương lai
advertisement,Quảng cáo
collection,thu thập
specifications,thông số kỹ thuật
fundamentals,nguyên tắc cơ bản
databases,cơ sở dữ liệu
instructions,hướng dẫn
assessing,đánh giá.
maintenance,Sự bảo trì
celebrities,Người nổi tiếng
engineering,kỹ thuật
originally,ban đầu
complaints,Khiếu nại.
catalogue,mục lục
offensive,phản cảm
earthquake,động đất
accomplish,hoàn thành
specification,sự chỉ rõ
enhancement,sự nâng cao
publishing,Xuất bản
reproduction,sinh sản
opportunities,những cơ hội
corrected,sửa chữa
probability,xác suất
barcelona,Barcelona.
incredible,đáng kinh ngạc
violation,sự vi phạm
anthropology,Nhân chủng học.
sublimedirectory,Sublimedirectory.
beginners,người mới bắt đầu
consolidated,"hợp nhất, củng cố"
obtaining,có được
waterproof,không thấm nước
citizenship,quyền công dân
indicator,chỉ báo
comparison,so sánh
yugoslavia,yugoslavia.
contracting,ký kết
occurring,xảy ra
entertaining,giải trí
workforce,Lực lượng lao động
accessibility,khả năng tiếp cận
scholarships,học bổng.
presentations,thuyết trình
jewellery,đồ kim hoàn
alphabetical,bảng chữ cái.
outsourcing,Gia công
broadcast,phát tin
elsewhere,ở nơi khác
corporations,Tổng công ty.
journalists,nhà báo.
component,thành phần
informative,nhiều thông tin
consistent,đặc
processors,bộ xử lý
dimensions,Kích thước.
dispatched,phái đi
challenges,THỬ THÁCH
collaborative,hợp tác.
treasurer,Thủ quỹ
transferred,chuyển nhượng
settlement,Giải quyết
controllers,Bộ điều khiển
trademark,Nhãn hiệu
designation,Chỉ định.
subsequently,sau đó
inherited,thừa hưởng
corresponding,tương ứng
intelligent,thông minh
afternoon,buổi chiều
population,dân số
threatened,bị đe dọa
specially,Đặc biệt.
qualified,đạt tiêu chuẩn
determination,sự quyết tâm
bookmarks,Dấu trang.
selection,Lựa chọn
themselves,chúng tôi
penalties,hình phạt
forbidden,cấm
franchise,nhượng quyền thương mại
requiring,yêu cầu
postcards,bưu thiếp.
freelance,tự do.
abstracts,tóm tắt
criterion,tiêu chuẩn
wrestling,Đấu vật
experiments,thí nghiệm
contributing,đóng góp
indonesia,Indonesia.
collective,tập thể
paragraphs,Đoạn văn.
travelers,Du khách
character,tính cách
screensavers,Trình bảo vệ màn hình
situation,tình hình
literature,văn chương
exception,ngoại lệ
establishment,thành lập.
fundamental,cơ bản
responded,trả lời
specialties,Đặc sản
information,thông tin
virtually,Hầu như
collaboration,sự hợp tác
countries,Quốc gia
narrative,chuyện kể
perspective,Góc nhìn cá nhân
shakespeare,Shakespeare.
competitive,cạnh tranh
separately,riêng biệt
applications,các ứng dụng
semiconductor,bán dẫn
guaranteed,Đảm bảo
obligations,Nghĩa vụ
basically,về cơ bản
reporting,Báo cáo
arrangements,sắp xếp
investigated,điều tra
particularly,cụ thể
publisher,Nhà xuất bản
resulting,kết quả
surrounded,Được bao quanh
leadership,Khả năng lãnh đạo
champagne,Rượu sâm banh
introducing,Giới thiệu.
automated,tự động
announced,công bố
geographical,địa lý.
relaxation,thư giãn
strategies,chiến lược
residential,Khu dân cư
experience,kinh nghiệm
illustrated,minh họa
destination,điểm đến
electronics,thiết bị điện tử
baltimore,Baltimore.
contribution,sự đóng góp
accordingly,Theo đó
internship,kỳ thực tập
valentine,lễ tình nhân
stephanie,Stephanie.
transexual,transexual.
voluntary,tình nguyện
invention,phát minh
insulation,vật liệu cách nhiệt
computing,tin học
president,chủ tịch
horizontal,nằm ngang
landscape,phong cảnh
photography,nhiếp ảnh
promising,Hứa hẹn
ecommerce,Thương mại điện tử.
opponents,đối thủ
congressional,Quốc hội
adjustable,điều chỉnh
vegetation,thảm thực vật
determining,xác định
democrats,Dân chủ
cartridge,hộp đạn
stockings,vớ.
scheduled,lên kế hoạch
performance,màn biểu diễn
traveling,đi du lịch
strengths,điểm mạnh
particular,cụ thể
contributors,Người đóng góp.
attraction,sức hút
spectacular,Hùng vĩ
copyrights,Bản quyền
conclusions,kết luận
authorized,ủy quyền.
primarily,chủ yếu
suggestion,gợi ý
monitoring,giám sát
aggressive,xâm lược
prescribed,quy định
testimony,Lời khai.
difficulty,sự khó khăn
throughout,khắp
subcommittee,Tiểu ban
snowboard,trượt tuyết
intersection,ngã tư
cambridge,cambridge.
distribution,phân bổ
secondary,sơ trung
montgomery,Montgomery.
developing,phát triển
adaptation,thích ứng
playstation,Playstation.
structured,Cấu trúc.
controller,Bộ điều khiển
additions,bổ sung.
unemployment,thất nghiệp
vulnerability,Lỗ hổng
supervision,Giám sát
activities,các hoạt động
performed,thực hiện.
questions,câu hỏi
atmospheric,khí quyển
contractor,Nhà thầu
comparisons,so sánh
household,hộ gia đình
functioning,hoạt động
widescreen,Màn hình rộng
indicates,chỉ ra.
characteristic,đặc điểm.
obviously,rõ ràng
separated,ly thân
advertisers,Nhà quảng cáo
procedure,thủ tục
pharmacies,Nhà thuốc
programming,Lập trình.
preference,sự ưa thích
removable,có thể tháo rời
christopher,Christopher.
ourselves,chính chúng ta
argentina,Argentina.
calibration,sự định cỡ
supervisors,Giám sát viên
supplements,Bổ sung
breathing,thở
statewide,tiểu bang
convenience,tiện
subscribers,thuê bao.
searching,đang tìm kiếm
subsidiaries,công ty con.
exceptional,đặc biệt
findarticles,Findarticles.
enquiries,Thắc mắc
everybody,mọi người
vocabulary,từ vựng
fascinating,lôi cuốn
naturally,một cách tự nhiên
magazines,tạp chí thời sự
responsible,chịu trách nhiệm
monitored,theo dõi
australia,Châu Úc
engineers,Kỹ sư
transaction,Giao dịch
configuring,cấu hình.
constitute,cấu tạo
successful,thành công
mathematical,toán học.
conversations,Cuộc trò chuyện
departure,sự khởi hành
consciousness,ý thức
properties,tính chất
demonstrate,chứng tỏ
wordpress,wordpress.
disciplinary,kỷ luật
foundation,sự thành lập
simulation,mô phỏng.
relationships,các mối quan hệ
independently,độc lập
basketball,bóng rổ
trackback,theo dõi lại
explanation,giải trình
innovations,đổi mới
industrial,công nghiệp
allowance,phụ cấp
christina,Christina.
bulgarian,Bulgaria
downloaded,Tải về
mitsubishi,Mitsubishi.
transactions,giao dịch
automatic,tự động
dependence,sự phụ thuộc
influence,ảnh hưởng
lexington,lexington.
everywhere,mọi nơi
differences,sự khác biệt
selecting,chọn
troubleshooting,xử lý sự cố
lithuania,Litva.
alexandria,Alexandria.
amplifier,khuếch đại.
considered,được xem xét
telecharger,Telecharger.
invisible,vô hình
comparable,so sánh
contacted,liên lạc
installed,Cài đặt
physician,bác sĩ
exceptions,Ngoại lệ
thesaurus,lesaurus.
amenities,tiện nghi
packaging,Đóng gói.
residents,cư dân
religious,Tôn giáo
authentic,thật
hydraulic,thủy lực.
reproduced,tái sản xuất
progressive,cấp tiến
checklist,danh mục
highlight,điểm nổi bật
resolutions,nghị quyết
strengthening,tăng cường
efficient,Có hiệu quả
advantage,thuận lợi
magnitude,kích cỡ
madagascar,Madagascar.
vietnamese,Tiếng Việt
enterprises,Doanh nghiệp
identifies,xác định.
housewares,đồ gia dụng.
enterprise,Doanh nghiệp
connections,kết nối
prototype,nguyên mẫu
frequencies,tần số
carefully,cẩn thận
significance,ý nghĩa
commissioner,Ủy viên
cleveland,Cleveland.
disciplines,kỷ luật
thoroughly,triệt để
paperback,Bìa mềm
expectations,mong đợi
utilization,sử dụng
paragraph,đoạn văn
evanescence,biến mất.
immediate,ngay tức khắc
richardson,Richardson.
dramatically,đáng kể
additional,thêm vào
inclusive,bao gồm
mysterious,bí ẩn.
interventions,can thiệp
sexuality,tình dục
appropriations,chiếm đoạt.
recognize,nhìn nhận
queensland,Queensland.
consequences,hậu quả
conservation,bảo tồn
absolutely,chắc chắn rồi
wednesday,Thứ Tư
reservoir,Hồ chứa
cigarette,thuốc lá
algorithm,thuật toán
substitute,thay thế
requirement,yêu cầu
acquisition,mua lại
accompanying,đi cùng
assignments,Bài tập
orchestra,dàn nhạc
involving,liên quan
administration,sự quản lý
merchants,thương nhân.
nightlife,Cuộc sống về đêm
perception,sự nhận thức
qualifications,Trình độ chuyên môn
transmitted,truyền đi
disposition,bố trí
motorcycles,xe máy
completed,hoàn thành
detection,Phát hiện.
expanding,Mở rộng
sunglasses,kính râm
confirmation,Xác nhận
activists,nhà hoạt động
currencies,tiền tệ
inspections,KIỂM TRA
architect,kiến trúc sư
assignment,phân công
limitations,Hạn chế
combining,kết hợp
affiliated,liên kết
increases,tăng
paintings,những bức tranh
discovered,đã phát hiện
excessive,quá đáng
administrators,Quản trị viên
experiencing,trải nghiệm
connected,kết nối
connecting,Đang kết nối
displaying,hiển thị
potential,tiềm năng
affiliation,Chi nhánh
addressing,địa chỉ
increasing,tăng
performing,biểu diễn
desperate,tuyệt vọng
peripheral,ngoại vi.
furniture,đồ nội thất
registration,đăng ký
liability,trách nhiệm pháp lý
remainder,phần còn lại
infection,sự nhiễm trùng
configuration,cấu hình
liverpool,Liverpool.
automobile,ô tô
activated,kích hoạt
sensitivity,nhạy cảm
departmental,SỞ
appointment,cuộc hẹn
testimonials,Lời chứng thực
importance,tầm quan trọng
developed,đã phát triển
understanding,hiểu
lafayette,Lafayette.
incorrect,không đúng
distributor,nhà phân phối
institutional,thể chế.
objectives,Mục tiêu.
internationally,quốc tế
fragrance,Nước hoa
continuously,liên tục
international,Quốc tế
generators,máy phát điện
adjustment,điều chỉnh.
commented,bình luận
excellent,thông minh
measurement,đo đạc
biographies,tiểu sử.
container,thùng đựng hàng
proceedings,tố tụng.
exclusively,duy nhất
performances,biểu diễn
developments,phát triển
challenged,thách thức
consecutive,liên tục
pichunter,pichunter.
availability,khả dụng
mandatory,bắt buộc
americans,Người Mỹ
incidents,sự cố
subscription,đăng ký
purchasing,thu mua
palestinian,Palestine
continental,Continental.
encryption,Mã hóa
likelihood,Khả năng
limitation,giới hạn.
statement,bản tường trình
biological,sinh học.
expressed,bày tỏ
dangerous,sự nguy hiểm
universities,trường đại học
providence,Providence
publication,sự xuất bản
competitions,thi đấu.
configure,cấu hình.
graduated,đã tốt nghiệp
frequently,thường xuyên
innovative,sáng tạo
hopefully,Hy vọng
employers,sử dụng lao động
greenhouse,nhà kính
decreased,giảm dần
considering,xem xét
impression,ấn tượng
livestock,Chăn nuôi.
incidence,tỷ lệ mắc bệnh
volleyball,bóng chuyền
inspection,điều tra
encourage,khích lệ
vacancies,Vacancy.
pantyhose,quần lót
streaming,phát trực tuyến.
memorabilia,kỷ niệm
ambassador,Đại sứ.
municipality,Đô thị
allocation,phân bổ.
obituaries,phó tín
regulations,quy định
ministries,Các bộ.
controlled,kiểm soát
attributes,thuộc tính
distributed,phân phối.
performer,biểu diễn
elementary,tiểu học.
symposium,Hội nghị chuyên đề
sacramento,Sacramento.
philosophy,triết lý
surveillance,giám sát.
classified,Phân loại
qualification,bằng cấp
reasonable,hợp lý
operating,điều hành
protocols,giao thức.
reproduce,tái sản xuất
parenting,nuôi dạy con cái
confidentiality,bảo mật
encyclopedia,Bách Khoa toàn thư
discusses,thảo luận
convergence,hội tụ.
university,trường đại học
chronicle,ghi chép lại
destinations,Điểm đến
indianapolis,Indianapolis.
distinction,phân biệt
investigator,điều tra viên
possibilities,khả năng
programmers,lập trình viên
voyeurweb,Voyeurweb.
completing,hoàn thành
thanksgiving,Lễ Tạ ơn
adolescent,thanh niên
confirmed,đã xác nhận
macintosh,Macintosh.
widespread,phổ biến rộng rãi
liechtenstein,liechtenstein.
regarding,về
responsibilities,trách nhiệm
terminology,thuật ngữ
highlights,Điểm nổi bật
accordance,Tùy theo
absorption,hấp thụ
cosmetics,mỹ phẩm.
describes,mô tả
underlying,cơ bản
sponsorship,sự tài trợ
addresses,địa chỉ
impressive,ấn tượng
specialist,Chuyên gia.
necessary,cần thiết
incentives,ưu đãi
efficiency,hiệu quả
nomination,sự đề cử
campaigns,Chiến dịch
subsidiary,công ty con
organized,được tổ chức
introduction,Giới thiệu
directive,Chỉ thị
mississippi,Mississippi.
headquarters,trụ sở chính
scientific,có tính khoa học
medication,thuốc
yorkshire,Yorkshire.
investment,đầu tư
developers,nhà phát triển
shipments,Lô hàng.
retirement,sự nghỉ hưu
consortium,Hiệp hội
chancellor,Chancellor.
acknowledged,thừa nhận
strengthen,củng cố
arguments,tranh luận
variations,Biến thể.
frequency,tần số
occasional,thỉnh thoảng
contributions,đóng góp
screenshot,Ảnh chụp màn hình
uniprotkb,Uniprotkb.
publishers,Nhà xuất bản
requesting,yêu cầu
processes,quy trình
battlefield,chiến trường
uzbekistan,Uzbekistan.
massachusetts,Massachusetts.
mauritius,Mauritius.
eventually,sau cùng
highlighted,nhấn mạnh
consultation,Tư vấn
fundraising,gây quỹ.
respondents,người trả lời
infrastructure,Cơ sở hạ tầng
attractions,Điểm tham quan
discovery,khám phá
parliamentary,nghị viên
hospitality,lòng hiếu khách
financing,Tài chính
therapist,nhà trị liệu.
cancelled,hủy bỏ
accepting,chấp nhận
exchanges,TRAO ĐỔI.
magnificent,tráng lệ
civilization,nền văn minh
resolution,nghị quyết
delivered,đã giao hàng
pregnancy,thai kỳ
workplace,nơi làm việc
referring,Giới thiệu
elizabeth,Elizabeth.
cooperative,Hợp tác xã.
theoretical,lý thuyết.
proceeding,tiến hành
unauthorized,không được phép
elevation,độ cao
application,đơn xin
calculators,Máy tính
structures,cấu trúc
transform,biến đổi
chocolate,sô cô la
watershed,đầu nguồn
dimension,kích thước
lifestyle,cách sống
selective,chọn lọc.
mentioned,đề cập
princeton,Princeton.
situations,tình huống
supported,hỗ trợ
distances,khoảng cách
appointments,Các cuộc hẹn
educational,giáo dục
downloads,Tải về
veterinary,Thú y.
tradition,truyền thống
department,phòng
refurbished,Tân trang lại
connectors,kết nối
malpractice,sai lầm
investigators,điều tra viên
birmingham,Birmingham.
construction,sự thi công
refinance,Tái cấp vốn
reflection,sự phản xạ
postposted,bưu điện
prospective,tiềm năng
brilliant,xuất sắc
producing,sản xuất
interested,quan tâm đến
responding,đáp ứng
cartridges,hộp mực
developer,nhà phát triển
albuquerque,albuquerque
approaches,phương pháp tiếp cận
milwaukee,Milwaukee.
circumstances,trường hợp
necessarily,nhất thiết
shortcuts,Phím tắt.
techniques,Kỹ thuật
manufacturers,Nhà sản xuất của
christian,Kitô giáo.
customers,Khách hàng
documentation,tài liệu
personality,nhân cách
disappointed,thất vọng
bathrooms,Phòng tắm
implementing,thực thi
smithsonian,Smithsonian.
generates,tạo ra.
indicators,chỉ số
collections,bộ sưu tập
worcester,Worcester.
attractive,hấp dẫn
organization,tổ chức
challenging,thách thức
associations,hiệp hội
slideshow,trình chiếu
electrical,điện
accidents,tai nạn
statements,các câu lệnh
institution,Tổ chức
reasonably,hợp lý
psychiatry,Tâm thần học
shareware,Phần mềm chia sẻ
assessment,"thẩm định, lượng định, đánh giá"
recommendations,khuyến nghị
engagement,hôn ước
overnight,qua đêm
ordinance,Pháp lệnh.
underground,bí mật
commander,chỉ huy
programme,chương trình
accompanied,kèm theo
thickness,Độ dày
suppliers,các nhà cung cấp
different,khác biệt
assistance,sự giúp đỡ
summaries,tóm tắt
genealogy,phả hệ
elimination,loại bỏ.
photograph,ảnh chụp
framework,Khung
infectious,lây nhiễm.
significantly,đáng kể
butterfly,Con bướm
modifications,sửa đổi.
temperatures,nhiệt độ
popularity,phổ biến
intention,chủ đích
creations,sáng tạo
categories,Thể loại
changelog,Changelog.
palestine,Palestine.
transport,vận chuyển
recruiting,Tuyển dụng.
microsoft,Microsoft.
optimization,tối ưu hóa
providers,Nhà cung cấp
hardcover,bìa cứng
depending,tùy
respiratory,hô hấp.
bluetooth,Bluetooth
organisation,tổ chức
travelling,đi du lịch
forecasts,dự báo
conspiracy,âm mưu.
fireplace,lò sưởi
administrator,người quản lý
vulnerable,dễ bị tổn thương
integrate,tích hợp
happiness,niềm hạnh phúc
beastality,beastality.
institute,học viện
explicitly,rõ ràng
contribute,Góp phần
intervention,sự can thiệp
authorities,Cơ quan chức năng
considers,xem xét
congratulations,Xin chúc mừng
privileges,đặc quyền
meanwhile,Trong khi đó
cigarettes,Thuốc lá
ministers,Bộ trưởng
knowledge,hiểu biết
legitimate,hợp pháp
deutschland,Deutschland.
merchandise,hàng hóa
exemption,Miễn trừ
protection,sự bảo vệ
alignment,liên kết
contacting,liên hệ
humanitarian,nhân đạo.
orientation,sự định hướng
astronomy,thiên văn học.
interviews,phỏng vấn
apartment,chung cư
ecological,sinh thái
examining,kiểm tra.
association,sự kết hợp
indonesian,Indonesia
regardless,bất kể
respected,tôn trọng
childhood,thời thơ ấu
advancement,thăng tiến.
societies,xã hội
involvement,sự tham gia
sequences,trình tự.
associated,có liên quan
supporting,hỗ trợ
reconstruction,Tái thiết
wallpapers,hình nền.
exploring,khám phá
supervisor,người giám sát
continuity,liên tục
reception,tiếp nhận
paperbacks,Bìa mềm
headphones,tai nghe
accredited,công nhận
downloading,Tải về
management,ban quản lý
occupation,nghề nghiệp
marketing,tiếp thị
initiated,bắt đầu
certificate,chứng chỉ
amsterdam,Amsterdam.
recommend,giới thiệu
appraisal,thẩm định
executive,"chấp hành, quản lý"
templates,Mẫu
established,thành lập
helicopter,trực thăng
documentary,phim tài liệu
porcelain,sứ
superintendent,Giám thị.
substances,vật liệu xây dựng
transparent,trong suốt
indicated,chỉ ra
azerbaijan,Azerbaijan.
tournament,giải đấu.
vacations,kỳ nghỉ
hydrocodone,Hydrocodone.
acceptance,chấp thuận
dictionary,từ điển
salvation,sự cứu rỗi.
corrections,đính chính
preliminary,sơ bộ
discipline,kỷ luật
importantly,quan trọng
volunteers,Tình nguyện viên
stakeholders,Các bên liên quan
creativity,sáng tạo
represented,đại diện
radiation,sự bức xạ
necessity,sự cần thiết
alternate,Luân phiên
legislation,pháp luật
conference,hội nghị
retrieval,lấy lại.
communicate,giao tiếp
rochester,Rochester.
roommates,Bạn cùng phòng
permanent,dài hạn
classification,Phân loại.
wellington,Wellington.
afterwards,sau đó
obligation,nghĩa vụ
proportion,tỷ lệ
simultaneously,đồng thời.
arbitrary,Bất kỳ
kilometers,Kilômét
philadelphia,Philadelphia
something,thứ gì đó
compilation,biên soạn.
norwegian,Na Uy
deployment,triển khai.
intelligence,Sự thông minh
eligibility,đủ điều kiện
institutes,Viện
calculated,tính toán
portsmouth,Portsmouth.
researchers,Các nhà nghiên cứu
nutrition,Dinh dưỡng
continues,Tiếp tục
interview,buổi phỏng vấn
environmental,thuộc về môi trường
testament,Di chúc.
depression,Phiền muộn
louisiana,Louisiana.
licensing,cấp phép
champions,Nhà vô địch.
enrollment,ghi danh
backgrounds,tầng lớp
assistant,phụ tá
methodology,Phương pháp học.
facilities,cơ sở
volunteer,Tình nguyện viên
customize,tùy chỉnh.
distribute,phân phát
beverages,đồ uống
incorporated,hợp nhất
characterization,đặc điểm hóa
transcript,bảng điểm
motorcycle,xe máy
intensity,Cường độ
physicians,bác sĩ.
insurance,bảo hiểm
partnerships,Quan hệ đối tác
disturbed,bị làm phiền
traditional,truyên thông
shopzilla,Shopzilla.
antarctica,Nam Cực
jefferson,jefferson.
incomplete,chưa hoàn thiện
messenger,tin nhắn
applicant,người xin việc
consistency,Tính nhất quán
photographer,nhiếp ảnh gia
aboriginal,thổ dân.
trademarks,Thương hiệu.
electronic,điện tử
favorites,yêu thích
undefined,chưa xác định
nevertheless,Tuy nhiên
associate,kết hợp
regulatory,quy định
demanding,đòi hỏi
democracy,nền dân chủ
simulations,mô phỏng
editorial,biên tập.
conceptual,khái niệm.
hepatitis,viêm gan.
commissioners,Ủy viên
conservative,thận trọng
sculpture,điêu khắc
saskatchewan,Saskatchewan.
description,sự miêu tả
adventure,cuộc phiêu lưu
bangladesh,Bangladesh.
melbourne,Melbourne.
cognitive,nhận thức
attitudes,thái độ.
procedures,thủ tục
endorsement,chứng thực.
generally,nói chung
camcorder,Máy quay phim
recommends,Đề nghị
chevrolet,chevrolet.
documents,các tài liệu
powerpoint,Powerpoint.
federation,Liên đoàn
recording,ghi âm
compatible,tương thích
inspiration,nguồn cảm hứng
attending,tham dự.
approximate,gần đúng
renewable,tái tạo
preventing,Ngăn chặn
difference,sự khác biệt
processor,bộ xử lý
reproductive,sinh sản.
encounter,bắt gặp
fantastic,tuyệt diệu
permalink,permalink.
protected,được bảo vệ.
editorials,Biên tập
specializing,Chuyên
burlington,Burlington.
revolution,Cuộc cách mạng
achieving,đạt được
corporation,tập đoàn
translator,dịch giả
essential,Thiết yếu
frederick,Frederick.
initially,Ban đầu
promotions,khuyến mãi
revisions,sửa đổi
verification,xác minh
individual,cá nhân
spirituality,Tâm linh.
isolation,sự cô lập
accessible,có thể truy cập
computational,tính toán
submitting,ĐĂNG KÝ
subscriptions,đăng ký.
desirable,mong muốn
receiving,nhận được
sometimes,thỉnh thoảng
attendance,sự tham dự
providing,cung cấp
achievements,thành tựu
impressed,ấn tượng
conflicts,Xung đột
confidence,sự tự tin
copyright,Bản quyền.
interpreted,giải thích
medicines,các loại thuốc
evaluating,đánh giá.
aerospace,không gian vũ trụ
precision,độ chính xác
consumption,sự tiêu thụ
attachments,Tệp đính kèm.
enclosure,bao vây
individuals,cá nhân
government,chính phủ
francisco,Francisco.
specialty,chuyên môn
specialists,Chuyên gia
equipment,Trang thiết bị
guidelines,hướng dẫn
inventory,hàng tồn kho
enhancing,nâng cao.
examination,kiểm tra
tremendous,TUYỆT VỜI.
significant,có ý nghĩa
explosion,nổ
exclusion,loại trừ.
afghanistan,Afghanistan.
scientists,các nhà khoa học
structural,cấu trúc
exploration,thăm dò
annotation,Chú thích
daughters,con gái
achievement,thành tích
conducting,tiến hành
compatibility,Khả năng tương thích
reporters,những phóng viên
activation,Kích hoạt
valuation,định giá
vbulletin,vbulletin.
commitment,sự cam kết
spreading,truyền bá
membership,thành viên
plaintiff,Nguyên đơn
